POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

MPMG | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.403C | min_rmse=0.773C | max_bias=1.087C | max_rmse=1.762C
MPMG | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.334C | min_rmse=0.755C | max_bias=1.264C | max_rmse=1.970C
MPMG | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.220C | min_rmse=0.706C | max_bias=1.372C | max_rmse=2.022C
MPMG | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.173C | min_rmse=0.771C | max_bias=1.382C | max_rmse=2.142C
MPMG | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.196C | min_rmse=0.761C | max_bias=1.773C | max_rmse=2.486C
MPMG | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.183C | min_rmse=0.768C | max_bias=1.904C | max_rmse=2.642C
NZWN | ecmwf_ifs025 | lead=1 | n=90 | min_bias=0.159C | min_rmse=0.712C | max_bias=0.284C | max_rmse=0.574C
NZWN | ecmwf_ifs025 | lead=2 | n=90 | min_bias=0.033C | min_rmse=0.799C | max_bias=0.283C | max_rmse=0.744C
NZWN | ecmwf_ifs025 | lead=3 | n=90 | min_bias=0.070C | min_rmse=0.982C | max_bias=0.307C | max_rmse=0.854C
NZWN | ecmwf_ifs025 | lead=4 | n=90 | min_bias=0.136C | min_rmse=1.238C | max_bias=0.292C | max_rmse=1.067C
NZWN | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.069C | min_rmse=1.505C | max_bias=0.304C | max_rmse=1.119C
NZWN | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.086C | min_rmse=1.597C | max_bias=0.408C | max_rmse=1.294C
NZWN | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.059C | min_rmse=1.730C | max_bias=0.351C | max_rmse=1.294C
OEJN | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.101C | min_rmse=0.767C | max_bias=-1.619C | max_rmse=1.817C
OEJN | ecmwf_ifs025 | lead=2 | n=90 | min_bias=0.318C | min_rmse=0.886C | max_bias=-1.653C | max_rmse=1.954C
OEJN | ecmwf_ifs025 | lead=3 | n=90 | min_bias=0.512C | min_rmse=1.185C | max_bias=-1.464C | max_rmse=1.822C
OEJN | ecmwf_ifs025 | lead=4 | n=90 | min_bias=0.707C | min_rmse=1.415C | max_bias=-1.424C | max_rmse=1.793C
OEJN | ecmwf_ifs025 | lead=5 | n=90 | min_bias=0.792C | min_rmse=1.460C | max_bias=-1.454C | max_rmse=1.815C
